mixbench-hip (2430cc4)
------------------------ Device specifications ------------------------
Device:              
CUDA driver version: 40421.401
GPU clock rate:      1502 MHz
WarpSize:            64
L2 cache size:       8192 KB
Total global mem:    32752 MB
Total SPs:           7680 (120 MPs x 64 SPs/MP)
Compute throughput:  23070.72 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1228.80 GB/sec
-----------------------------------------------------------------------
Total GPU memory 34342961152, free 34342961152
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.14,  242.73, 970.90,      0.250,    0.25,  271.13,1084.50,      0.125,    0.25,  136.27,1090.15,      0.500,    0.13,  526.92,1053.85,     0.250,    0.13,  264.79,1059.17
            1,      0.750,    0.13,  798.42,1064.56,      0.750,    0.24,  825.65,1100.87,      0.375,    0.25,  399.71,1065.90,      1.500,    0.13, 1602.92,1068.61,     0.750,    0.13,  799.42,1065.90
            2,      1.250,    0.13, 1330.68,1064.54,      1.250,    0.25, 1361.80,1089.44,      0.625,    0.25,  678.25,1085.20,      2.500,    0.13, 2674.98,1069.99,     1.250,    0.13, 1322.29,1057.83
            3,      1.750,    0.13, 1872.46,1069.98,      1.750,    0.25, 1892.98,1081.70,      0.875,    0.29,  821.03, 938.32,      3.500,    0.13, 3716.47,1061.85,     1.750,    0.13, 1851.21,1057.83
            4,      2.250,    0.13, 2395.26,1064.56,      2.250,    0.29, 2114.78, 939.90,      1.125,    0.25, 1219.28,1083.81,      4.500,    0.13, 4808.76,1068.61,     2.250,    0.13, 2404.38,1068.61
            5,      2.750,    0.13, 2927.50,1064.54,      2.750,    0.25, 2992.05,1088.02,      1.375,    0.25, 1484.47,1079.61,      5.500,    0.13, 5840.17,1061.85,     2.750,    0.13, 2916.44,1060.52
            6,      3.250,    0.13, 3446.65,1060.51,      3.250,    0.25, 3506.52,1078.93,      1.625,    0.25, 1768.03,1088.02,      6.500,    0.13, 6893.29,1060.51,     3.250,    0.13, 3425.00,1053.85
            7,      3.750,    0.13, 3981.93,1061.85,      3.750,    0.25, 3979.42,1061.18,      1.875,    0.25, 2024.29,1079.62,      7.500,    0.13, 7953.80,1060.51,     3.750,    0.13, 3961.87,1056.50
            8,      4.250,    0.13, 4512.93,1061.87,      4.250,    0.25, 4615.09,1085.90,      2.125,    0.25, 2291.23,1078.23,      8.500,    0.13, 9048.62,1064.54,     4.250,    0.13, 4439.80,1044.66
            9,      4.750,    0.13, 5050.18,1063.19,      4.750,    0.25, 5046.98,1062.52,      2.375,    0.25, 2585.72,1088.72,      9.500,    0.13,10074.81,1060.51,     4.750,    0.13, 4913.26,1034.37
           10,      5.250,    0.13, 5574.71,1061.85,      5.250,    0.25, 5610.22,1068.61,      2.625,    0.25, 2848.65,1085.20,     10.500,    0.13,11121.26,1059.17,     5.250,    0.13, 5464.04,1040.77
           11,      5.750,    0.13, 6097.91,1060.51,      5.750,    0.25, 6168.14,1072.72,      2.875,    0.25, 3078.17,1070.67,     11.500,    0.13,12242.26,1064.54,     5.750,    0.13, 5797.42,1008.25
           12,      6.250,    0.13, 6644.97,1063.19,      6.250,    0.26, 6574.14,1051.86,      3.125,    0.25, 3354.37,1073.40,     12.500,    0.13,13306.80,1064.54,     6.250,    0.14, 5978.28, 956.53
           13,      6.750,    0.13, 7131.37,1056.50,      6.750,    0.25, 7236.24,1072.04,      3.375,    0.25, 3639.02,1078.23,     13.500,    0.13,14244.81,1055.17,     6.750,    0.15, 6128.04, 907.86
           14,      7.250,    0.13, 7659.62,1056.50,      7.250,    0.26, 7621.23,1051.20,      3.625,    0.25, 3891.07,1073.40,     14.500,    0.13,15319.25,1056.50,     7.250,    0.16, 6250.50, 862.14
