mixbench-hip (79c4ef5)
------------------------ Device specifications ------------------------
Device:              
CUDA driver version: 40421.401
GPU clock rate:      1502 MHz
WarpSize:            64
L2 cache size:       8192 KB
Total global mem:    32752 MB
Total SPs:           7680 (120 MPs x 64 SPs/MP)
Compute throughput:  23070.72 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1228.80 GB/sec
-----------------------------------------------------------------------
Total GPU memory 34342961152, free 34342961152
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.13,  266.47,1065.90,      0.250,    0.24,  278.88,1115.51,      0.125,    0.24,  137.07,1096.55,      0.500,    0.13,  529.58,1059.17,     0.250,    0.13,  264.46,1057.83
            1,      0.750,    0.13,  803.51,1071.34,      0.750,    0.24,  839.98,1119.97,      0.375,    0.25,  409.07,1090.85,      1.500,    0.13, 1590.77,1060.52,     0.750,    0.13,  799.42,1065.90
            2,      1.250,    0.12, 1342.61,1074.09,      1.250,    0.25, 1363.56,1090.85,      0.625,    0.25,  681.78,1090.85,      2.500,    0.12, 2692.13,1076.85,     1.250,    0.12, 1344.34,1075.47
            3,      1.750,    0.12, 1879.65,1074.09,      1.750,    0.25, 1906.51,1089.43,      0.875,    0.25,  953.87,1090.14,      3.500,    0.13, 3749.70,1071.34,     1.750,    0.13, 1872.46,1069.98
            4,      2.250,    0.13, 2410.52,1071.34,      2.250,    0.25, 2427.57,1078.92,      1.125,    0.25, 1215.35,1080.31,      4.500,    0.12, 4833.38,1074.09,     2.250,    0.13, 2404.40,1068.62
            5,      2.750,    0.13, 2942.43,1069.98,      2.750,    0.25, 2968.95,1079.62,      1.375,    0.25, 1498.95,1090.14,      5.500,    0.12, 5907.47,1074.09,     2.750,    0.13, 2946.19,1071.34
            6,      3.250,    0.12, 3495.25,1075.46,      3.250,    0.25, 3522.35,1083.80,      1.625,    0.25, 1771.47,1090.14,      6.500,    0.13, 6972.63,1072.71,     3.250,    0.13, 3451.04,1061.86
            7,      3.750,    0.13, 4017.56,1071.35,      3.750,    0.25, 4093.35,1091.56,      1.875,    0.25, 2038.72,1087.32,      7.500,    0.12, 8055.64,1074.09,     3.750,    0.13, 3981.93,1061.85
            8,      4.250,    0.12, 4564.90,1074.09,      4.250,    0.25, 4591.32,1080.31,      2.125,    0.25, 2310.55,1087.32,      8.500,    0.13, 9118.05,1072.71,     4.250,    0.13, 4462.03,1049.89
            9,      4.750,    0.13, 5095.42,1072.72,      4.750,    0.25, 5134.78,1081.01,      2.375,    0.25, 2585.73,1088.73,      9.500,    0.13,10190.76,1072.71,     4.750,    0.13, 4955.96,1043.36
           10,      5.250,    0.13, 5617.37,1069.98,      5.250,    0.25, 5581.77,1063.19,      2.625,    0.25, 2834.00,1079.62,     10.500,    0.12,11277.99,1074.09,     5.250,    0.13, 5498.15,1047.27
           11,      5.750,    0.13, 6152.36,1069.98,      5.750,    0.25, 6256.12,1088.02,      2.875,    0.25, 3134.15,1090.14,     11.500,    0.13,12304.72,1069.98,     5.750,    0.14, 5688.07, 989.23
           12,      6.250,    0.13, 6661.86,1065.90,      6.250,    0.25, 6795.70,1087.31,      3.125,    0.25, 3413.33,1092.27,     12.500,    0.13,13340.66,1067.25,     6.250,    0.14, 5904.14, 944.66
           13,      6.750,    0.13, 7231.56,1071.34,      6.750,    0.25, 7140.39,1057.84,      3.375,    0.25, 3684.00,1091.56,     13.500,    0.13,14444.67,1069.98,     6.750,    0.15, 6075.44, 900.07
           14,      7.250,    0.13, 7767.29,1071.35,      7.250,    0.25, 7883.01,1087.31,      3.625,    0.25, 3936.40,1085.90,     14.500,    0.13,15514.64,1069.98,     7.250,    0.16, 6199.53, 855.11
