mixbench-hip (df6cb55)
------------------------ Device specifications ------------------------
Device:              AMD Instinct MI210
CUDA driver version: 50631.61
GPU clock rate:      1700 MHz
WarpSize:            64
L2 cache size:       8192 KB
Total global mem:    65520 MB
Total SPs:           6656 (104 MPs x 64 SPs/MP)
Compute throughput:  22630.40 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1638.40 GB/sec
-----------------------------------------------------------------------
Total GPU memory 68702699520, free 68664950784
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.09,  370.52,1482.09,      0.250,    0.18,  381.30,1525.19,      0.125,    0.18,  190.30,1522.42,      0.500,    0.09,  741.04,1482.09,     0.250,    0.09,  371.17,1484.69
            1,      0.750,    0.09, 1115.51,1487.34,      0.750,    0.18, 1142.86,1523.81,      0.375,    0.18,  572.47,1526.58,      1.500,    0.09, 2230.99,1487.33,     0.750,    0.09, 1115.49,1487.33
            2,      1.250,    0.09, 1859.18,1487.34,      1.250,    0.18, 1904.76,1523.81,      0.625,    0.18,  953.25,1525.19,      2.500,    0.09, 3705.22,1482.09,     1.250,    0.09, 1849.34,1479.47
            3,      1.750,    0.09, 2607.44,1489.97,      1.750,    0.18, 2661.83,1521.04,      0.875,    0.18, 1338.19,1529.36,      3.500,    0.09, 5205.70,1487.34,     1.750,    0.09, 2612.11,1492.63
            4,      2.250,    0.09, 3340.56,1484.69,      2.250,    0.18, 3431.68,1525.19,      1.125,    0.18, 1715.84,1525.19,      4.500,    0.09, 6681.19,1484.71,     2.250,    0.09, 3346.52,1487.34
            5,      2.750,    0.09, 4104.70,1492.62,      2.750,    0.18, 4171.53,1516.92,      1.375,    0.18, 2097.14,1525.19,      5.500,    0.09, 8165.81,1484.69,     2.750,    0.09, 4075.74,1482.09
            6,      3.250,    0.09, 4833.86,1487.34,      3.250,    0.18, 4943.39,1521.04,      1.625,    0.18, 2476.19,1523.81,      6.500,    0.09, 9667.72,1487.34,     3.250,    0.09, 4816.73,1482.07
            7,      3.750,    0.09, 5577.53,1487.34,      3.750,    0.18, 5703.92,1521.04,      1.875,    0.18, 2854.55,1522.42,      7.500,    0.09,11115.52,1482.07,     3.750,    0.09, 5557.76,1482.07
            8,      4.250,    0.09, 6332.36,1489.97,      4.250,    0.18, 6446.90,1516.92,      2.125,    0.18, 3238.09,1523.81,      8.500,    0.09,12597.73,1482.09,     4.250,    0.09, 6287.69,1479.46
            9,      4.750,    0.09, 7077.42,1489.98,      4.750,    0.18, 7166.49,1508.73,      2.375,    0.18, 3619.04,1523.81,      9.500,    0.09,14030.24,1476.87,     4.750,    0.09, 7015.04,1476.85
           10,      5.250,    0.09, 7794.72,1484.71,      5.250,    0.18, 7935.13,1511.45,      2.625,    0.18, 3992.76,1521.05,     10.500,    0.09,15534.29,1479.46,     5.250,    0.09, 7767.14,1479.46
           11,      5.750,    0.09, 8521.90,1482.07,      5.750,    0.18, 8738.08,1519.67,      2.875,    0.18, 4373.00,1521.04,     11.500,    0.09,16983.79,1476.85,     5.750,    0.09, 8477.06,1474.27
           12,      6.250,    0.09, 9262.94,1482.07,      6.250,    0.18, 9446.58,1511.45,      3.125,    0.18, 4770.56,1526.58,     12.500,    0.09,18395.87,1471.67,     6.250,    0.09, 9149.78,1463.96
           13,      6.750,    0.09,10021.79,1484.71,      6.750,    0.18, 9881.81,1463.97,      3.375,    0.18, 5119.60,1516.92,     13.500,    0.09,19832.96,1469.11,     6.750,    0.09, 9916.48,1469.11
           14,      7.250,    0.09,10745.13,1482.09,      7.250,    0.18,10754.57,1483.39,      3.625,    0.18, 5479.02,1511.45,     14.500,    0.09,21190.73,1461.43,     7.250,    0.09,10688.36,1474.26
           15,      7.750,    0.09,11445.72,1476.87,      7.750,    0.18,11267.13,1453.82,      3.875,    0.18, 5809.77,1499.30,     15.500,    0.09,22612.77,1458.89,     7.750,    0.09,11385.46,1469.09
           16,      8.250,    0.09,12184.16,1476.87,      8.250,    0.19,11952.62,1448.80,      4.125,    0.18, 6274.31,1521.04,     16.500,    0.09,24155.41,1463.96,     8.250,    0.09,12077.71,1463.96
