"Data Type", "Arithmetic Intensity (FLOPs/Byte)", "Bandwidth (GB/s)", "GFLOPS", "Execution Time (s)"
float32, 0.25, 1482.09, 370.52, 0.09
float32, 0.75, 1487.34, 1115.51, 0.09
float32, 1.25, 1487.34, 1859.18, 0.09
float32, 1.75, 1489.97, 2607.44, 0.09
float32, 2.25, 1484.69, 3340.56, 0.09
float32, 2.75, 1492.62, 4104.7, 0.09
float32, 3.25, 1487.34, 4833.86, 0.09
float32, 3.75, 1487.34, 5577.53, 0.09
float32, 4.25, 1489.97, 6332.36, 0.09
float32, 4.75, 1489.98, 7077.42, 0.09
float32, 5.25, 1484.71, 7794.72, 0.09
float32, 5.75, 1482.07, 8521.9, 0.09
float32, 6.25, 1482.07, 9262.94, 0.09
float32, 6.75, 1484.71, 10021.79, 0.09
float32, 7.25, 1482.09, 10745.13, 0.09
float32, 7.75, 1476.87, 11445.72, 0.09
float32, 8.25, 1476.87, 12184.16, 0.09
float32, 8.75, 1482.09, 12968.25, 0.09
float32, 9.25, 1484.69, 13733.41, 0.09
float32, 10.25, 1484.69, 15218.1, 0.09
float32, 11.25, 1479.47, 16644.06, 0.09
float32, 12.25, 1466.54, 17965.11, 0.09
float32, 14.25, 1463.96, 20861.49, 0.09
float32, 16.25, 1456.36, 23665.78, 0.09
float32, 20.25, 1359.57, 27531.21, 0.1
float32, 24.25, 1160.24, 28135.82, 0.12
float32, 28.25, 1090.85, 30816.41, 0.12
float32, 32.25, 995.08, 32091.41, 0.13
float32, 40.25, 818.4, 32940.43, 0.16
float32, 48.25, 714.53, 34476.0, 0.19
float32, 64.25, 305.04, 19598.7, 0.44
float32, 128.25, 158.39, 20314.08, 0.85
float32, 256.25, 80.83, 20712.76, 1.66
float64, 0.25, 1525.19, 381.3, 0.18
float64, 0.75, 1523.81, 1142.86, 0.18
float64, 1.25, 1523.81, 1904.76, 0.18
float64, 1.75, 1521.04, 2661.83, 0.18
float64, 2.25, 1525.19, 3431.68, 0.18
float64, 2.75, 1516.92, 4171.53, 0.18
float64, 3.25, 1521.04, 4943.39, 0.18
float64, 3.75, 1521.04, 5703.92, 0.18
float64, 4.25, 1516.92, 6446.9, 0.18
float64, 4.75, 1508.73, 7166.49, 0.18
float64, 5.25, 1511.45, 7935.13, 0.18
float64, 5.75, 1519.67, 8738.08, 0.18
float64, 6.25, 1511.45, 9446.58, 0.18
float64, 6.75, 1463.97, 9881.81, 0.18
float64, 7.25, 1483.39, 10754.57, 0.18
float64, 7.75, 1453.82, 11267.13, 0.18
float64, 8.25, 1448.8, 11952.62, 0.19
float64, 8.75, 1450.05, 12687.97, 0.19
float64, 9.25, 1437.63, 13298.07, 0.19
float64, 10.25, 1414.6, 14499.63, 0.19
float64, 11.25, 1359.57, 15295.2, 0.2
float64, 12.25, 1316.89, 16131.86, 0.2
float64, 14.25, 1200.94, 17113.4, 0.22
float64, 16.25, 1085.2, 17634.45, 0.25
float64, 20.25, 898.13, 18187.17, 0.3
float64, 24.25, 764.33, 18535.09, 0.35
float64, 28.25, 664.71, 18777.94, 0.4
float64, 32.25, 587.85, 18958.05, 0.46
float64, 40.25, 478.25, 19249.73, 0.56
float64, 48.25, 402.33, 19412.37, 0.67
float64, 64.25, 305.76, 19645.18, 0.88
float64, 128.25, 156.17, 20028.56, 1.72
float64, 256.25, 78.94, 20227.44, 3.4
