mixbench (2430cc4)
------------------------ Device specifications ------------------------
Device:              Tesla V100-PCIE-16GB
CUDA driver version: 11.40
GPU clock rate:      1380 MHz
Memory clock rate:   438 MHz
Memory bus width:    4096 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    16160 MB
ECC enabled:         Yes
Compute Capability:  7.0
Total SPs:           5120 (80 MPs x 64 SPs/MP)
Compute throughput:  14131.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    898.05 GB/sec
-----------------------------------------------------------------------
Total GPU memory 16945512448, free 16621502464
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.17,  199.01, 796.03,      0.125,    0.31,  108.51, 868.12,      0.500,    0.16,  421.28, 842.57,     0.250,    0.16,  212.22, 848.88
            1,      0.750,    0.16,  618.02, 824.03,      0.375,    0.31,  326.39, 870.37,      1.500,    0.16, 1274.09, 849.39,     0.750,    0.16,  618.99, 825.33
            2,      1.250,    0.16, 1060.24, 848.19,      0.625,    0.31,  546.08, 873.72,      2.500,    0.16, 2126.93, 850.77,     1.250,    0.16, 1067.58, 854.06
            3,      1.750,    0.16, 1485.54, 848.88,      0.875,    0.31,  750.82, 858.08,      3.500,    0.16, 2975.29, 850.08,     1.750,    0.16, 1485.24, 848.71
            4,      2.250,    0.16, 1839.97, 817.76,      1.125,    0.31,  974.21, 865.97,      4.500,    0.16, 3811.46, 846.99,     2.250,    0.16, 1868.75, 830.56
            5,      2.750,    0.16, 2330.64, 847.51,      1.375,    0.31, 1191.32, 866.41,      5.500,    0.16, 4657.51, 846.82,     2.750,    0.17, 2130.86, 774.86
            6,      3.250,    0.16, 2767.81, 851.64,      1.625,    0.31, 1409.67, 867.49,      6.500,    0.16, 5507.67, 847.33,     3.250,    0.17, 2507.63, 771.58
            7,      3.750,    0.16, 3160.27, 842.74,      1.875,    0.31, 1627.21, 867.85,      7.500,    0.16, 6305.33, 840.71,     3.750,    0.17, 2893.95, 771.72
            8,      4.250,    0.16, 3509.01, 825.65,      2.125,    0.31, 1838.09, 864.98,      8.500,    0.16, 7174.80, 844.09,     4.250,    0.17, 3271.99, 769.88
            9,      4.750,    0.16, 3985.39, 839.03,      2.375,    0.31, 2046.74, 861.78,      9.500,    0.16, 8023.74, 844.60,     4.750,    0.18, 3592.96, 756.41
           10,      5.250,    0.16, 4360.42, 830.56,      2.625,    0.31, 2263.58, 862.32,     10.500,    0.16, 8942.17, 851.64,     5.250,    0.18, 4006.57, 763.16
           11,      5.750,    0.16, 4854.52, 844.26,      2.875,    0.31, 2468.75, 858.70,     11.500,    0.16, 9695.38, 843.08,     5.750,    0.18, 4401.76, 765.52
           12,      6.250,    0.16, 5303.34, 848.53,      3.125,    0.31, 2699.18, 863.74,     12.500,    0.16,10568.19, 845.46,     6.250,    0.18, 4719.91, 755.19
           13,      6.750,    0.16, 5675.93, 840.88,      3.375,    0.31, 2910.61, 862.40,     13.500,    0.16,11297.51, 836.85,     6.750,    0.18, 5088.35, 753.83
           14,      7.250,    0.16, 6023.91, 830.88,      3.625,    0.31, 3095.66, 853.98,     14.500,    0.16,12139.20, 837.19,     7.250,    0.18, 5421.41, 747.78
           15,      7.750,    0.16, 6459.83, 833.53,      3.875,    0.31, 3329.49, 859.22,     15.500,    0.16,12986.76, 837.86,     7.750,    0.18, 5764.47, 743.80
           16,      8.250,    0.16, 6934.47, 840.54,      4.125,    0.32, 3505.52, 849.82,     16.500,    0.16,13857.83, 839.87,     8.250,    0.18, 6053.71, 733.78
           17,      8.750,    0.16, 7254.43, 829.08,      4.375,    0.31, 3749.12, 856.94,     17.500,    0.16,14258.03, 814.74,     8.750,    0.19, 6336.35, 724.15
           18,      9.250,    0.17, 7502.86, 811.12,      4.625,    0.31, 3967.41, 857.82,     18.500,    0.16,15084.49, 815.38,     9.250,    0.19, 6676.53, 721.79
           20,     10.250,    0.16, 8484.63, 827.77,      5.125,    0.32, 4349.18, 848.62,     20.500,    0.17,16637.62, 811.59,    10.250,    0.19, 7235.21, 705.87
           22,     11.250,    0.16, 9239.46, 821.29,      5.625,    0.32, 4775.42, 848.96,     22.500,    0.17,17832.93, 792.57,    11.250,    0.19, 7887.98, 701.15
           24,     12.250,    0.16,10033.24, 819.04,      6.125,    0.32, 5097.75, 832.29,     24.500,    0.17,19513.95, 796.49,    12.250,    0.20, 8350.43, 681.67
           28,     14.250,    0.18,10890.82, 764.27,      7.125,    0.32, 5917.12, 830.47,     28.500,    0.17,22516.04, 790.04,    14.250,    0.21, 9097.23, 638.40
           32,     16.250,    0.19,11403.29, 701.74,      8.125,    0.36, 6005.59, 739.15,     32.500,    0.19,23135.59, 711.86,    16.250,    0.23, 9381.62, 577.33
           40,     20.250,    0.23,11715.13, 578.52,     10.125,    0.45, 6052.06, 597.73,     40.500,    0.23,23744.66, 586.29,    20.250,    0.28, 9740.21, 481.00
           48,     24.250,    0.27,11866.98, 489.36,     12.125,    0.53, 6085.07, 501.86,     48.500,    0.27,23898.47, 492.75,    24.250,    0.33, 9939.59, 409.88
           56,     28.250,    0.31,12057.50, 426.81,     14.125,    0.62, 6103.91, 432.14,     56.500,    0.31,24332.91, 430.67,    28.250,    0.38,10004.99, 354.16
           64,     32.250,    0.36,12025.81, 372.89,     16.125,    0.71, 6132.02, 380.28,     64.500,    0.36,24378.90, 377.97,    32.250,    0.43,10120.18, 313.80
           80,     40.250,    0.44,12277.87, 305.04,     20.125,    0.88, 6164.27, 306.30,     80.500,    0.44,24518.30, 304.58,    40.250,    0.53,10199.42, 253.40
