mixbench (79c4ef5)
------------------------ Device specifications ------------------------
Device:              Tesla V100-PCIE-16GB
CUDA driver version: 11.40
GPU clock rate:      1380 MHz
Memory clock rate:   438 MHz
Memory bus width:    4096 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    16160 MB
ECC enabled:         Yes
Compute Capability:  7.0
Total SPs:           5120 (80 MPs x 64 SPs/MP)
Compute throughput:  14131.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    898.05 GB/sec
-----------------------------------------------------------------------
Total GPU memory 16945512448, free 16621502464
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.17,  199.65, 798.61,      0.125,    0.31,  108.35, 866.77,      0.500,    0.16,  421.45, 842.91,     0.250,    0.16,  211.36, 845.46
            1,      0.750,    0.16,  611.41, 815.22,      0.375,    0.31,  325.71, 868.57,      1.500,    0.16, 1265.12, 843.42,     0.750,    0.16,  614.40, 819.20
            2,      1.250,    0.16, 1021.80, 817.44,      0.625,    0.31,  542.12, 867.40,      2.500,    0.16, 2111.09, 844.43,     1.250,    0.16, 1059.38, 847.51
            3,      1.750,    0.16, 1483.73, 847.85,      0.875,    0.31,  749.14, 856.16,      3.500,    0.16, 2942.49, 840.71,     1.750,    0.16, 1481.64, 846.65
            4,      2.250,    0.16, 1899.21, 844.09,      1.125,    0.31,  974.41, 866.14,      4.500,    0.16, 3802.25, 844.94,     2.250,    0.16, 1862.11, 827.61
            5,      2.750,    0.16, 2319.39, 843.42,      1.375,    0.31, 1197.50, 870.91,      5.500,    0.16, 4664.11, 848.02,     2.750,    0.17, 2156.35, 784.13
            6,      3.250,    0.16, 2759.41, 849.05,      1.625,    0.31, 1414.79, 870.64,      6.500,    0.16, 5512.13, 848.02,     3.250,    0.17, 2531.38, 778.89
            7,      3.750,    0.16, 3191.69, 851.12,      1.875,    0.31, 1626.20, 867.31,      7.500,    0.16, 6367.87, 849.05,     3.750,    0.17, 2918.66, 778.31
            8,      4.250,    0.16, 3531.96, 831.05,      2.125,    0.31, 1834.87, 863.47,      8.500,    0.16, 7218.38, 849.22,     4.250,    0.17, 3273.79, 770.30
            9,      4.750,    0.16, 3985.39, 839.03,      2.375,    0.31, 2054.76, 865.16,      9.500,    0.16, 8036.69, 845.97,     4.750,    0.18, 3632.26, 764.69
           10,      5.250,    0.16, 4397.86, 837.69,      2.625,    0.31, 2268.01, 864.00,     10.500,    0.16, 8834.54, 841.38,     5.250,    0.18, 3988.43, 759.70
           11,      5.750,    0.16, 4862.35, 845.63,      2.875,    0.31, 2466.73, 857.99,     11.500,    0.16, 9687.59, 842.40,     5.750,    0.18, 4394.54, 764.27
           12,      6.250,    0.16, 5267.11, 842.74,      3.125,    0.31, 2689.21, 860.55,     12.500,    0.16,10473.19, 837.86,     6.250,    0.18, 4705.51, 752.88
           13,      6.750,    0.16, 5639.75, 835.52,      3.375,    0.31, 2905.84, 860.99,     13.500,    0.16,11363.26, 841.72,     6.750,    0.18, 5063.77, 750.19
           14,      7.250,    0.16, 6059.93, 835.85,      3.625,    0.32, 3084.99, 851.03,     14.500,    0.16,12100.56, 834.52,     7.250,    0.18, 5396.40, 744.33
           15,      7.750,    0.16, 6468.83, 834.69,      3.875,    0.31, 3310.84, 854.41,     15.500,    0.16,12899.15, 832.20,     7.750,    0.18, 5724.88, 738.69
           16,      8.250,    0.16, 6845.30, 829.73,      4.125,    0.32, 3509.79, 850.86,     16.500,    0.16,13709.59, 830.88,     8.250,    0.18, 6042.08, 732.37
           17,      8.750,    0.16, 7353.27, 840.37,      4.375,    0.31, 3743.77, 855.72,     17.500,    0.16,14417.66, 823.87,     8.750,    0.18, 6402.68, 731.73
           18,      9.250,    0.16, 7631.26, 825.00,      4.625,    0.31, 3950.04, 854.06,     18.500,    0.16,15202.71, 821.77,     9.250,    0.19, 6708.86, 725.28
           20,     10.250,    0.16, 8454.60, 824.84,      5.125,    0.32, 4354.46, 849.65,     20.500,    0.17,16660.19, 812.69,    10.250,    0.19, 7276.85, 709.94
           22,     11.250,    0.16, 9259.40, 823.06,      5.625,    0.32, 4773.00, 848.53,     22.500,    0.17,17836.30, 792.72,    11.250,    0.19, 7832.99, 696.27
           24,     12.250,    0.17, 9945.84, 811.91,      6.125,    0.32, 5142.14, 839.53,     24.500,    0.17,19521.36, 796.79,    12.250,    0.20, 8305.89, 678.03
           28,     14.250,    0.18,10872.99, 763.02,      7.125,    0.32, 5899.02, 827.93,     28.500,    0.17,22293.49, 782.23,    14.250,    0.21, 9029.89, 633.68
           32,     16.250,    0.19,11353.90, 698.70,      8.125,    0.36, 5989.76, 737.20,     32.500,    0.19,22998.97, 707.66,    16.250,    0.23, 9370.01, 576.62
           40,     20.250,    0.23,11614.20, 573.54,     10.125,    0.45, 6050.34, 597.56,     40.500,    0.23,23573.32, 582.06,    20.250,    0.28, 9746.92, 481.33
           48,     24.250,    0.27,11964.70, 493.39,     12.125,    0.54, 6058.24, 499.65,     48.500,    0.27,23977.34, 494.38,    24.250,    0.33, 9870.15, 407.02
           56,     28.250,    0.32,12019.59, 425.47,     14.125,    0.62, 6094.80, 431.49,     56.500,    0.31,24159.26, 427.60,    28.250,    0.38,10030.40, 355.06
           64,     32.250,    0.36,12004.46, 372.23,     16.125,    0.70, 6145.95, 381.14,     64.500,    0.36,24182.77, 374.93,    32.250,    0.43,10107.32, 313.41
           80,     40.250,    0.44,12305.62, 305.73,     20.125,    0.87, 6183.91, 307.28,     80.500,    0.44,24447.29, 303.69,    40.250,    0.53,10195.72, 253.31
           96,     48.250,    0.53,12327.92, 255.50,     24.125,    1.05, 6180.15, 256.17,     96.500,    0.53,24610.87, 255.03,    48.250,    0.63,10284.34, 213.15
          128,     64.250,    0.70,12350.32, 192.22,     32.125,    1.38, 6233.15, 194.03,    128.500,    0.70,24683.68, 192.09,    64.250,    0.83,10416.05, 162.12
          192,     96.250,    1.06,12244.52, 127.22,     48.125,    2.07, 6228.52, 129.42,    192.500,    1.27,20292.13, 105.41,    96.250,    1.26,10281.20, 106.82
          256,    128.250,    1.39,12378.77,  96.52,     64.125,    2.90, 5931.61,  92.50,    256.500,    1.84,18701.46,  72.91,   128.250,    1.64,10472.29,  81.66
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
